"","year","month","plot","point","N.N","temperature_C","volumetric_water_content","chamber_height","flux"
"140",9,5,1,15,592,22,20,3.3,0.56
"141",9,5,1,16,507,21.6,21,5.6,2.05
"142",9,5,1,17,475,22.5,20,5.6,0.64
"143",9,5,1,18,725,22.4,16,5.5,0.21
"144",9,5,1,19,463,22.3,16,4.9,0.52
"145",9,5,1,20,811,22.4,16,4.5,0.07
"146",9,5,1,21,507,22.3,15,3.3,0.35
"147",9,5,1,22,570,21.7,23,4.7,0.3
"148",9,5,1,23,675,22.5,13,4.7,0.39
"149",9,5,1,24,454,22.8,23,3.7,0.43
"150",9,5,1,25,473,22.6,22,3.6,0.74
"151",9,6,1,1,597,22.7,15,4.5,0.39
"152",9,6,1,2,616,21.8,18,4.3,0.16
"153",9,6,1,3,505,21.9,9,5.2,0.33
"154",9,6,1,4,478,22,11,3.7,0.43
"155",9,6,1,5,476,22.2,13,4.3,0.32
"156",9,6,1,6,531,22.3,13,4.5,0.23
"157",9,6,1,7,595,21.8,14,4.4,0.4
"158",9,6,1,8,472,22.5,9,3.7,0.39
"159",9,6,1,9,470,22.3,11,5.9,0.49
"160",9,6,1,10,461,22.4,10,5.7,0.29
"161",9,6,1,11,466,22.2,14,5.3,0.37
"162",9,6,1,12,457,22,10,4.9,0.2
"163",9,6,1,13,486,22.5,8,3.8,0.37
"164",9,6,1,14,446,23.1,8,4.5,0.55
"165",9,6,1,15,455,24.8,9,3.5,0.35
"166",9,6,1,16,550,22.9,13,5.5,0.09
"167",9,6,1,17,579,23.7,12,5.2,0.17
"168",9,6,1,18,660,22.7,12,5.5,0.04
"169",9,6,1,19,443,24,9,4.5,0.29
"170",9,6,1,20,464,22.9,10,4.7,0.3
"171",9,6,1,21,518,23.3,13,3.1,0.33
"172",9,6,1,22,495,22.9,14,4.1,0.44
"173",9,6,1,23,487,23,9,4.4,0.54
"174",9,6,1,24,446,26,14,3.7,0.46
"175",9,6,1,25,479,23.4,14,3.5,0.24
"176",9,7,1,1,483,21.6,17,5.2,0.4
"177",9,7,1,2,517,21,19,5.1,0.35
"178",9,7,1,3,456,21.2,17,5.8,0.36
"179",9,7,1,4,566,21.3,20,4.7,0.4
"180",9,7,1,5,458,21.3,16,5.5,0.3
"181",9,7,1,6,498,21.1,19,5.45,0.35
"182",9,7,1,7,581,20.9,25,4.2,0.28
"183",9,7,1,8,527,21.5,19,3.3,0.45
"184",9,7,1,9,562,21.4,19,6.5,0.52
"185",9,7,1,10,526,22.2,15,6.2,0.19
"186",9,7,1,11,484,21.4,16,5.3,0.34
"187",9,7,1,12,455,21.3,15,5.8,0.26
"188",9,7,1,13,484,21.9,14,4.2,0.3
"189",9,7,1,14,538,21.7,13,5.1,0.47
"190",9,7,1,15,479,22,19,3.5,0.46
"191",9,7,1,16,455,21.8,19,6.8,0.33
"192",9,7,1,17,504,22.2,24,2.8,0.52
"193",9,7,1,18,569,22.2,22,5.9,0.23
"194",9,7,1,19,468,21.9,15,5.1,0.42
"195",9,7,1,20,461,21.9,19,4.6,0.44
"196",9,7,1,21,473,22.4,18,2.7,0.33
"197",9,7,1,22,571,21.6,16,5.8,0.33
"198",9,7,1,23,480,21.9,11,4.2,0.55
"199",9,7,1,24,449,22.6,12,3.4,0.44
"200",9,7,1,25,457,22.3,23,3.9,0.36
"201",9,8,1,1,432,22.2,10,4.7,0.32
"202",9,8,1,2,428,21.3,13,5,0.3
"203",9,8,1,3,439,21.9,11,6.5,0.23
"204",9,8,1,4,496,21.8,11,3.8,0.28
"205",9,8,1,5,431,21.5,11,5.8,0.23
"206",9,8,1,6,603,21.5,11,5.6,0.04
"207",9,8,1,7,433,21.1,11,3.6,0.26
"208",9,8,1,8,430,22.9,17,2.4,0.3
"209",9,8,1,9,460,21.8,8,6.2,0.46
"210",9,8,1,10,415,22.3,16,6.2,0.23
"211",9,8,1,11,430,21.8,9,5.1,0.21
"212",9,8,1,12,419,21.6,11,5.8,0.16
"213",9,8,1,13,431,22.8,9,2.3,0.23
"214",9,8,1,14,493,22.4,7,4.3,0.25
"215",9,8,1,15,438,22.6,8,3.5,0.29
"216",9,8,1,16,413,22.7,14,5.9,0.2
"217",9,8,1,17,431,24.2,15,1.2,0.36
"218",9,8,1,18,436,22.9,14,5.5,0.32
"219",9,8,1,19,425,23.1,9,6.2,0.27
"220",9,8,1,20,423,22.3,12,2.2,0.24
"221",9,8,1,21,435,23.1,11,3.1,0.31
"222",9,8,1,22,485,22.2,11,4.5,0.21
"223",9,8,1,23,497,22.5,7,4.7,0.4
"224",9,8,1,24,444,22.7,12,4.1,0.38
"225",9,8,1,25,430,23.4,14,3.7,0.28
"226",9,9,1,1,549,24.8,12,5.1,0.27
"227",9,9,1,2,478,23.1,12,5,0.27
"228",9,9,1,3,447,23.4,9,7.6,0.33
"229",9,9,1,4,447,23.5,11,4.1,0.4
"230",9,9,1,5,427,23.7,13,7.8,0.24
"231",9,9,1,6,434,23.1,10,5.5,0.35
"232",9,9,1,7,434,23.3,9,4.7,0.39
"233",9,9,1,8,483,24.5,10,3.1,0.3
"234",9,9,1,9,521,24,9,7.4,0.25
"235",9,9,1,10,435,24.9,10,7.2,0.27
"236",9,9,1,11,429,24.4,7,6,0.23
"237",9,9,1,12,425,24.8,7,4.9,0.24
"238",9,9,1,13,431,24,8,3,0.26
"239",9,9,1,14,440,24.1,10,6.7,0.3
"240",9,9,1,15,439,24.6,11,3.4,0.32
"241",9,9,1,16,422,24.1,5,6.7,0.24
"242",9,9,1,17,473,26.3,10,1.7,0.36
"243",9,9,1,18,714,24.4,11,7.2,0.18
"244",9,9,1,19,444,25,10,5.4,0.33
"245",9,9,1,20,432,25.2,11,5.4,0.3
"246",9,9,1,21,429,25.2,13,6.4,0.25
"247",9,9,1,22,447,24.5,9,5.2,0.33
"248",9,9,1,23,443,24.7,6,5.3,0.89
"249",9,9,1,24,558,24.9,12,4,0.29
"250",9,9,1,25,439,25.8,11,4.8,0.34
"251",9,10,1,1,546,22.9,27,5.2,0.53
"252",9,10,1,2,548,23.4,28,4.2,0.61
"253",9,10,1,3,535,23.2,26,5,0.95
"254",9,10,1,4,492,23.6,21,2.6,0.05
"255",9,10,1,5,493,23.5,22,4.6,0.74
"256",9,10,1,6,503,23.5,29,4.7,2.62
"257",9,10,1,7,475,23.3,26,3.3,0.69
"258",9,10,1,8,497,23.8,23,2.8,0.76
"259",9,10,1,9,587,23.5,22,5.7,1.44
"260",9,10,1,10,453,23.8,27,6.8,0.54
"261",9,10,1,11,499,23.3,15,5.3,0.67
"262",9,10,1,12,463,23.4,26,5,0.68
"263",9,10,1,13,509,23.6,21,2.5,0.64
"264",9,10,1,14,509,23.9,24,5.5,0.99
"265",9,10,1,15,500,24,23,3.2,0.04
"266",9,10,1,16,471,24.3,19,5.2,0.53
"267",9,10,1,17,553,24.5,27,2,0.61
"268",9,10,1,18,490,23.7,22,4.9,0.04
"269",9,10,1,19,479,24.1,28,5.1,0.66
"270",9,10,1,20,486,23.8,29,4.22,0.5
"271",9,10,1,21,648,23.9,25,4.32,0.3
"272",9,10,1,22,524,23.9,28,4.22,0.5
"273",9,10,1,23,514,23.7,22,4.32,1.46
"274",9,10,1,24,591,24.1,25,3.9,0.77
"275",9,10,1,25,483,24.1,26,3.4,1.52
"276",9,11,1,1,464,25.4,28,5,0.98
"277",9,11,1,2,500,25.4,50,3,0.67
"278",9,11,1,3,563,24.8,22,5,0.62
"279",9,11,1,4,677,25.4,23,2.75,0.76
"280",9,11,1,5,462,25.1,23,5,0.85
"281",9,11,1,6,607,24.7,21,5.25,1.12
"282",9,11,1,7,482,25.7,24,3.5,0.63
"283",9,11,1,8,587,26.5,19,2.25,0.69
"284",9,11,1,9,505,25.3,17,6.5,0.98
"285",9,11,1,10,501,25.2,49,6.5,0.65
"286",9,11,1,11,842,25.3,20,4.75,0.3
"287",9,11,1,12,503,25,32,4.5,0.51
"288",9,11,1,13,453,25.3,16,2.25,0.61
"289",9,11,1,14,464,25.5,20,4,1.01
"290",9,11,1,15,500,26.4,22,2.75,0.71
"291",9,11,1,16,466,26.7,30,5.5,0.64
"292",9,11,1,17,621,26.3,22,1.5,0.62
"293",9,11,1,18,506,25.8,21,4.5,0.84
"294",9,11,1,19,481,26.6,22,5,0.77
"295",9,11,1,20,514,25.2,23,4.5,0.79
"296",9,11,1,21,482,25.8,16,4.5,0.55
"297",9,11,1,22,559,25.5,19,3.75,0.61
"298",9,11,1,23,624,25.5,21,4.5,0.96
"299",9,11,1,24,466,26.1,23,3.5,0.77
"300",9,11,1,25,457,26.3,20,3.75,0.69
"301",9,12,1,1,612,0.323,39,5,0.74
"302",9,12,1,2,565,23.2,31,2.256,0.76
"303",9,12,1,3,534,23.3,33,4.75,0.51
"304",9,12,1,4,527,23.4,28,3,1.24
"305",9,12,1,5,590,23.3,32,5,0.77
"306",9,12,1,6,505,23.1,36,5.25,0.72
"307",9,12,1,7,537,23.4,31,3.5,0.62
"308",9,12,1,8,564,23.6,13,2,0.68
"309",9,12,1,9,558,23.3,18,6.5,1.06
"310",9,12,1,10,524,23.3,15,6.75,0.56
"311",9,12,1,11,613,23.2,15,4.75,0.58
"312",9,12,1,12,508,22.9,15,5.5,0.27
"313",9,12,1,13,490,23.4,16,2.5,0.68
"314",9,12,1,14,516,23.4,16,4.5,1.32
"315",9,12,1,15,535,23.7,17,3,0.76
"316",9,12,1,16,500,24,20,5.5,0.69
"317",9,12,1,17,558,23.8,23,2,0.59
"318",9,12,1,18,604,23.6,13,5,0.81
"319",9,12,1,19,497,23.6,16,5.5,0.64
"320",9,12,1,20,651,23.3,19,4.5,0.82
"321",9,12,1,21,560,23.5,18,5,0.53
"322",9,12,1,22,507,23.6,15,4,0.75
"323",9,12,1,23,511,23.5,13,4.25,1.23
"324",9,12,1,24,499,24.2,15,3.5,0.68
"325",9,12,1,25,525,23.8,22,3.5,0.97
"326",10,1,1,1,431,26.4,43,4,0.4
"327",10,1,1,2,463,26.4,47,2.75,0.61
"328",10,1,1,3,462,25.8,32,5,0.45
"329",10,1,1,4,460,26.4,43,2.75,1.16
"330",10,1,1,5,448,26.1,35,5.5,0.58
"331",10,1,1,6,467,25.7,37,5,0.65
"332",10,1,1,7,532,26.7,45,3,0.68
"333",10,1,1,8,616,27.5,32,2.5,0.55
"334",10,1,1,9,478,26.3,48,5,0.92
"335",10,1,1,10,451,26.2,33,6.5,0.68
"336",10,1,1,11,527,26.3,35,4.5,0.64
"337",10,1,1,12,470,25.9,36,5.75,0.23
"338",10,1,1,13,639,26.3,39,2,0.44
"339",10,1,1,14,569,26.5,34,3.5,0.92
"340",10,1,1,15,515,27.4,34,3,0.74
"341",10,1,1,16,464,27.7,39,5,0.77
"342",10,1,1,17,449,27.3,35,3,0.79
"343",10,1,1,18,479,26.8,35,5.5,0.94
"344",10,1,1,19,496,27.6,34,3.5,0.77
"345",10,1,1,20,544,26.2,46,4.5,0.96
"346",10,1,1,21,577,26.7,34,4.5,0.45
"347",10,1,1,22,443,26.6,36,4,0.83
"348",10,1,1,23,524,26.5,30,4.25,1.26
"349",10,1,1,24,455,27.1,36,3.5,1.02
"350",10,1,1,25,453,27.3,39,3.5,0.76
"351",10,2,1,1,430,22.1,54,3.75,0.23
"352",10,2,1,2,502,22.5,62,2.5,0.54
"353",10,2,1,3,495,22.4,50,6.5,0.45
"354",10,2,1,4,486,23.3,57,3,1.36
"355",10,2,1,5,532,22.5,47,5.5,0.51
"356",10,2,1,6,524,22.6,56,5.25,0.43
"357",10,2,1,7,519,22.6,41,3,1.76
"358",10,2,1,8,562,22.3,47,2.5,0.88
"359",10,2,1,9,585,22.3,45,5.5,1.13
"360",10,2,1,10,478,22.2,40,6,0.45
"361",10,2,1,11,653,22.4,53,4.5,0.52
"362",10,2,1,12,575,22.4,48,5.5,0.12
"363",10,2,1,13,502,22.2,42,2.5,0.52
"364",10,2,1,14,489,22.9,56,3.5,1.3
"365",10,2,1,15,554,22.3,62,3.25,0.74
"366",10,2,1,16,472,23.1,57,4.75,0.62
"367",10,2,1,17,545,22.6,67,3,0.56
"368",10,2,1,18,568,22.5,51,5.5,0.8
"369",10,2,1,19,571,22.7,43,3.5,0.87
"370",10,2,1,20,496,22.6,61,4,0.74
"371",10,2,1,21,566,22.6,67,4.25,0.32
"372",10,2,1,22,482,23.1,49,4.25,0.52
"373",10,2,1,23,459,22.7,45,4.25,0.74
"374",10,2,1,24,506,23.4,65,3.75,0.75
"375",10,2,1,25,592,22.9,45,3.5,0.5
"376",10,3,1,1,457,24.7,22,3.3,0.44
"377",10,3,1,2,502,24.5,23,2.7,0.49
"378",10,3,1,3,578,24.5,27,5,0.54
"379",10,3,1,4,528,24.7,25,3.25,0.81
"380",10,3,1,5,509,24.6,30,5.25,0.37
"381",10,3,1,6,566,24.6,17,5.5,0.33
"382",10,3,1,7,592,24.5,27,3.25,0.52
"383",10,3,1,8,558,25.2,21,2,0.48
"384",10,3,1,9,495,24.6,27,4,0.87
"385",10,3,1,10,484,24.7,31,6.5,0.49
"386",10,3,1,11,635,24.3,30,4.75,0.39
"387",10,3,1,12,525,24.2,21,6,0.16
"388",10,3,1,13,953,24.4,32,2,0.07
"389",10,3,1,14,553,24.7,31,3.5,0.58
"390",10,3,1,15,624,25.5,24,3,0.47
"391",10,3,1,16,520,25.2,35,5,0.4
"392",10,3,1,17,466,25.3,39,2,0.58
"393",10,3,1,18,503,24.9,26,5.25,0.63
"394",10,3,1,19,513,25.1,35,3.5,0.62
"395",10,3,1,20,502,24.9,23,4.5,0.69
"396",10,3,1,21,541,24.9,28,4.5,0.38
"397",10,3,1,22,552,24.9,34,3.25,0.53
"398",10,3,1,23,517,24.7,32,4.5,0.69
"399",10,3,1,24,579,25.1,26,4,0.51
"400",10,3,1,25,453,25,38,3.5,0.56
"401",10,4,1,1,665,23,15,3.5,0.44
"402",10,4,1,2,681,23.2,21,3.2,0.33
"403",10,4,1,3,755,23.1,9,4.2,0.36
"404",10,4,1,4,649,23.4,21,4,0.77
"405",10,4,1,5,691,23.3,22,5.5,0.85
"406",10,4,1,6,698,22.9,24,5.1,0.34
"407",10,4,1,7,968,22.6,25,3.4,0.12
"408",10,4,1,8,1096,23.4,17,2.5,0.09
"409",10,4,1,9,731,23.1,15,5.5,0.62
"410",10,4,1,10,669,22.9,18,5.5,0.38
"411",10,4,1,11,832,23.1,14,4.8,0.05
"412",10,4,1,12,640,22.7,15,5.2,0.33
"413",10,4,1,13,621,22.8,13,2.5,0.54
"414",10,4,1,14,704,23,15,3.2,0.61
"415",10,4,1,15,973,23.7,14,3,1.71
"416",10,4,1,16,598,23,27,5.5,0.35
"417",10,4,1,17,597,23.6,13,2,0.51
"418",10,4,1,18,583,23.5,10,5.7,0.81
"419",10,4,1,19,594,23.4,31,4,0.36
"420",10,4,1,20,556,23.3,13,4.2,0.81
"421",10,4,1,21,577,23.7,20,4.6,0.46
"422",10,4,1,22,531,23,13,3.4,0.67
"423",10,4,1,23,640,23.5,14,4.2,0.61
"424",10,4,1,24,492,23.5,13,4.2,0.72
"425",10,4,1,25,504,23.3,13,3.7,1.21
"426",10,5,1,1,415,18.6,10,3.6,0.21
"427",10,5,1,2,413,18.3,9,3.1,0.16
"428",10,5,1,3,427,18.4,9,4.8,0.22
"429",10,5,1,4,424,18.4,11,3.2,0.25
"430",10,5,1,5,409,18.1,9,5.1,0.14
"431",10,5,1,6,392,18.3,12,5.2,0.13
"432",10,5,1,7,401,17.7,8,3.1,0.12
"433",10,5,1,8,422,19.9,8,2.4,0.18
"434",10,5,1,9,424,18.8,9,5.1,0.19
"435",10,5,1,10,531,18.6,8,5.5,0.04
"436",10,5,1,11,438,19.2,12,4.1,0.14
"437",10,5,1,12,420,18.4,9,5.3,0.12
"438",10,5,1,13,420,18.7,9,2.5,0.01
"439",10,5,1,14,418,18.8,8,2.6,0.23
"440",10,5,1,15,426,18.7,7,3.2,0.25
"441",10,5,1,16,412,17.8,25,5.1,0.89
"442",10,5,1,17,493,19.4,10,2.1,0.13
"443",10,5,1,18,477,19.8,18,4.7,0.2
"444",10,5,1,19,597,18.8,12,3.3,0.07
"445",10,5,1,20,407,18.7,10,4.5,0.18
"446",10,5,1,21,531,19.1,13,4.7,0.11
"447",10,5,1,22,542,18.4,11,3.1,0.05
"448",10,5,1,23,480,19,7,4.4,0.25
"449",10,5,1,24,445,19.2,10,4.5,0.17
"450",10,5,1,25,492,18.9,7,3,0.13
"451",10,6,1,1,565,21.7,8,4.4,0.21
"452",10,6,1,2,703,21.7,16,4.3,0.08
"453",10,6,1,3,578,21.5,22,3.9,0.4
"454",10,6,1,4,553,21.3,11,3.8,0.41
"455",10,6,1,5,543,21.5,14,5.5,0.2
"456",10,6,1,6,550,21.4,10,5.8,0.26
"457",10,6,1,7,488,21.1,13,3,0.32
"458",10,6,1,8,499,21.5,15,2.8,0.31
"459",10,6,1,9,515,21.6,14,3,0.52
"460",10,6,1,10,508,21.6,31,7.9,0.29
"461",10,6,1,11,569,21.8,9,4.7,0.36
"462",10,6,1,12,462,21.6,9,3.9,0.19
"463",10,6,1,13,488,21.6,8,2.5,0.2
"464",10,6,1,14,499,21.9,24,4.1,0.39
"465",10,6,1,15,503,21.9,20,4.6,0.34
"466",10,6,1,16,503,21.8,39,5.7,0.11
"467",10,6,1,17,505,21.8,17,4.5,0.31
"468",10,6,1,18,518,22.6,16,6.8,0.35
"469",10,6,1,19,487,22.5,11,4.7,0.32
"470",10,6,1,20,612,22.1,22,4.4,0.39
"471",10,6,1,21,508,22.2,16,4.8,0.25
"472",10,6,1,22,484,22.3,30,5.1,0.83
"473",10,6,1,23,541,22.4,12,4.3,0.44
"474",10,6,1,24,497,22.6,14,3.8,0.39
"475",10,6,1,25,492,22.2,21,3.7,0.31
"476",10,7,1,1,445,16.1,14,4.3,0.11
"477",10,7,1,2,448,15.9,30,4.2,0.2
"478",10,7,1,3,469,15.8,25,4,0.28
"479",10,7,1,4,468,16.2,19,3.6,0.39
"480",10,7,1,5,544,16.4,22,5.3,0.14
"481",10,7,1,6,440,16.6,24,5.7,0.18
"482",10,7,1,7,445,15.9,18,3,0.2
"483",10,7,1,8,478,16.9,22,2.5,0.26
"484",10,7,1,9,540,16.9,28,3,0.29
"485",10,7,1,10,425,17.2,17,7.7,0.19
"486",10,7,1,11,447,16.7,20,4.5,0.26
"487",10,7,1,12,468,16.9,18,3.8,0.11
"488",10,7,1,13,552,16.8,25,2.5,0.11
"489",10,7,1,14,642,17.2,27,4,0.06
"490",10,7,1,15,492,17.1,36,4.3,0.92
"491",10,7,1,16,408,17,22,5.5,0.1
"492",10,7,1,17,476,17.6,31,4.2,0.16
"493",10,7,1,18,461,16.9,30,6.1,0.31
"494",10,7,1,19,462,17.4,27,4.3,0.23
"495",10,7,1,20,479,17.7,19,4.1,0.32
"496",10,7,1,21,494,16.9,26,4.5,0.21
"497",10,7,1,22,437,17.6,33,5.5,0.28
"498",10,7,1,23,674,17.8,19,4.2,0.18
"499",10,7,1,24,473,17.9,30,3.7,0.36
"500",10,7,1,25,466,17.8,21,3.6,0.2
"501",10,8,1,1,497,19.6,9,4.3,0.16
"502",10,8,1,2,473,19.2,13,4.4,0.13
"503",10,8,1,3,483,19.3,7,4.1,0.18
"504",10,8,1,4,558,19.1,24,3.5,0.22
"505",10,8,1,5,537,19.3,10,5.2,0.13
"506",10,8,1,6,477,19.2,8,5.4,0.14
"507",10,8,1,7,514,18.6,9,3.7,0.08
"508",10,8,1,8,491,19.5,11,3,0.16
"509",10,8,1,9,481,19.3,14,3,0.2
"510",10,8,1,10,474,19.1,14,7.4,0.15
"511",10,8,1,11,480,19.3,7,4.4,0.14
"512",10,8,1,12,473,19.4,16,4,0.11
"513",10,8,1,13,473,19.3,28,2,0.16
"514",10,8,1,14,485,19.2,10,4.1,0.13
"515",10,8,1,15,465,19.3,9,4.3,0.19
"516",10,8,1,16,460,19,13,5.6,0.17
"517",10,8,1,17,485,19.4,18,5.7,0.17
"518",10,8,1,18,488,19.1,7,5.9,0.28
"519",10,8,1,19,484,19.9,16,4.5,0.2
"520",10,8,1,20,443,20.1,9,4.5,0.17
"521",10,8,1,21,447,19.8,6,4.7,0.18
"522",10,8,1,22,453,19.9,15,3.5,0.2
"523",10,8,1,23,479,19.6,17,4,0.32
"524",10,8,1,24,533,20.1,10,3.7,0.18
